-------------------------------
identifier 	 task 	 time
-------------------------------
    ifndef 	 insert	 0.000005 s
    STDARG 	 insert	 0.000003 s
         H 	 insert	 0.000003 s
    ifndef 	 search	 0.000003 s
      ANSI 	 insert	 0.000003 s
    STDARG 	 search	 0.000002 s
         H 	 search	 0.000003 s
    ifndef 	 search	 0.000002 s
      need 	 insert	 0.000003 s
        va 	 insert	 0.000004 s
      list 	 insert	 0.000003 s
    define 	 insert	 0.000003 s
    STDARG 	 search	 0.000004 s
         H 	 search	 0.000002 s
    define 	 search	 0.000003 s
      ANSI 	 search	 0.000003 s
    STDARG 	 search	 0.000003 s
         H 	 search	 0.000003 s
     endif 	 insert	 0.000004 s
     undef 	 insert	 0.000003 s
      need 	 search	 0.000003 s
        va 	 search	 0.000003 s
      list 	 search	 0.000004 s
    ifndef 	 search	 0.000003 s
      GNUC 	 insert	 0.000004 s
        VA 	 insert	 0.000005 s
      LIST 	 insert	 0.000003 s
    define 	 search	 0.000003 s
      GNUC 	 search	 0.000004 s
        VA 	 search	 0.000004 s
      LIST 	 search	 0.000004 s
   builtin 	 insert	 0.000004 s
        va 	 search	 0.000004 s
      list 	 search	 0.000003 s
      gnuc 	 insert	 0.000004 s
        va 	 search	 0.000003 s
      list 	 search	 0.000003 s
     endif 	 search	 0.000003 s
     ifdef 	 insert	 0.000004 s
    STDARG 	 search	 0.000002 s
         H 	 search	 0.000003 s
    define 	 search	 0.000003 s
        va 	 search	 0.000003 s
     start 	 insert	 0.000004 s
         v 	 insert	 0.000005 s
         l 	 insert	 0.000004 s
   builtin 	 search	 0.000003 s
        va 	 search	 0.000003 s
     start 	 search	 0.000004 s
         v 	 search	 0.000003 s
         l 	 search	 0.000004 s
    define 	 search	 0.000003 s
        va 	 search	 0.000003 s
       end 	 insert	 0.000004 s
         v 	 search	 0.000003 s
   builtin 	 search	 0.000003 s
        va 	 search	 0.000004 s
       end 	 search	 0.000004 s
         v 	 search	 0.000003 s
    define 	 search	 0.000003 s
        va 	 search	 0.000003 s
       arg 	 insert	 0.000005 s
         v 	 search	 0.000005 s
         l 	 search	 0.000003 s
   builtin 	 search	 0.000003 s
        va 	 search	 0.000003 s
       arg 	 search	 0.000004 s
         v 	 search	 0.000003 s
         l 	 search	 0.000004 s
   defined 	 insert	 0.000004 s
    STRICT 	 insert	 0.000004 s
      ANSI 	 search	 0.000003 s
      STDC 	 insert	 0.000004 s
   VERSION 	 insert	 0.000004 s
         L 	 insert	 0.000005 s
 cplusplus 	 insert	 0.000004 s
         L 	 search	 0.000004 s
    define 	 search	 0.000003 s
        va 	 search	 0.000003 s
      copy 	 insert	 0.000005 s
         d 	 insert	 0.000004 s
         s 	 insert	 0.000004 s
   builtin 	 search	 0.000003 s
        va 	 search	 0.000003 s
      copy 	 search	 0.000003 s
         d 	 search	 0.000004 s
         s 	 search	 0.000004 s
     endif 	 search	 0.000003 s
    define 	 search	 0.000004 s
        va 	 search	 0.000004 s
      copy 	 search	 0.000004 s
         d 	 search	 0.000004 s
         s 	 search	 0.000004 s
   builtin 	 search	 0.000004 s
        va 	 search	 0.000003 s
      copy 	 search	 0.000003 s
         d 	 search	 0.000004 s
         s 	 search	 0.000005 s
     ifdef 	 search	 0.000004 s
       BSD 	 insert	 0.000004 s
        VA 	 search	 0.000005 s
      LIST 	 search	 0.000004 s
     undef 	 search	 0.000003 s
       BSD 	 search	 0.000004 s
        VA 	 search	 0.000004 s
      LIST 	 search	 0.000003 s
     endif 	 search	 0.000003 s
   defined 	 search	 0.000003 s
      svr4 	 insert	 0.000004 s
   defined 	 search	 0.000004 s
       SCO 	 insert	 0.000004 s
        DS 	 insert	 0.000004 s
   defined 	 search	 0.000004 s
        VA 	 search	 0.000004 s
      LIST 	 search	 0.000004 s
    ifndef 	 search	 0.000002 s
        VA 	 search	 0.000003 s
      LIST 	 search	 0.000003 s
    define 	 search	 0.000004 s
        VA 	 search	 0.000003 s
      LIST 	 search	 0.000003 s
     ifdef 	 search	 0.000004 s
      i860 	 insert	 0.000005 s
    ifndef 	 search	 0.000003 s
        VA 	 search	 0.000003 s
      LIST 	 search	 0.000003 s
    define 	 search	 0.000004 s
        VA 	 search	 0.000003 s
      LIST 	 search	 0.000003 s
        va 	 search	 0.000004 s
      list 	 search	 0.000004 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000003 s
      gnuc 	 search	 0.000003 s
        va 	 search	 0.000003 s
      list 	 search	 0.000003 s
        va 	 search	 0.000003 s
      list 	 search	 0.000003 s
     ifdef 	 search	 0.000003 s
       SCO 	 search	 0.000005 s
        DS 	 search	 0.000005 s
    define 	 search	 0.000003 s
        VA 	 search	 0.000003 s
      LIST 	 search	 0.000003 s
     endif 	 search	 0.000004 s
     endif 	 search	 0.000003 s
   defined 	 search	 0.000004 s
        VA 	 search	 0.000003 s
      LIST 	 search	 0.000003 s
   defined 	 search	 0.000003 s
       BSD 	 search	 0.000003 s
      NET2 	 insert	 0.000004 s
   defined 	 search	 0.000004 s
       BSD 	 search	 0.000004 s
   defined 	 search	 0.000004 s
      bsdi 	 insert	 0.000004 s
   defined 	 search	 0.000004 s
   sequent 	 insert	 0.000005 s
   defined 	 search	 0.000003 s
   FreeBSD 	 insert	 0.000005 s
   defined 	 search	 0.000004 s
     WINNT 	 insert	 0.000005 s
    ifndef 	 search	 0.000004 s
        VA 	 search	 0.000003 s
      LIST 	 search	 0.000003 s
   DEFINED 	 insert	 0.000006 s
    ifndef 	 search	 0.000003 s
        VA 	 search	 0.000005 s
      LIST 	 search	 0.000006 s
    ifndef 	 search	 0.000004 s
        VA 	 search	 0.000003 s
      LIST 	 search	 0.000004 s
         T 	 insert	 0.000004 s
         H 	 search	 0.000003 s
    ifndef 	 search	 0.000003 s
        va 	 search	 0.000002 s
      list 	 search	 0.000003 s
